pct_fragments	fragments_clade	fragments_direct	minimizers	distinct_minimizers	rank_code	taxid	name	sample	is_host	total_distinct_minimizers_non_host	minimizer_proportion_sample	db_pct	db_clade_minimizers	db_taxon_minimizers	db_rank_code	db_name	genome_coverage_estimate	taxon_mean_prop	taxon_sd_prop	n_samples_with_taxon	z_score	p_value	fdr
0.0	1.0	1.0	6.0	3.0	S	3383502	Nocardioides sp. R1-1	CasClinique10_ADN	False	16069.0	0.00018669487833717095	0.01	1140130.0	1140130.0	S	Nocardioides sp. R1-1	2.6312788892494716e-06	0.00011053506969716469	7.251273534674321e-05	3.0	1.0502956242903179	0.14679110817848207	0.6893265565438373
0.02	12.0	11.0	162.0	125.0	S	223967	Methylorubrum populi	CasClinique10_ADN	False	16069.0	0.00777895326404879	0.02	3332728.0	2849924.0	S	Methylorubrum populi	4.386081874464021e-05	0.004913658275690322	0.002754384290130481	3.0	1.0402669658788726	0.14910794356600454	0.6893265565438373
0.0	1.0	1.0	5.0	3.0	S	2849501	Nocardioides panacis	CasClinique10_ADN	False	16069.0	0.00018669487833717095	0.01	1285870.0	1285870.0	S	Nocardioides panacis	2.3330507749616993e-06	0.00010113271321145676	8.289439425944642e-05	3.0	1.0321827656755422	0.15099325353287263	0.6893265565438373
0.0	1.0	1.0	12.0	9.0	S	446860	Kocuria flava	CasClinique10_ADN	False	16069.0	0.0005600846350115129	0.0	823463.0	823463.0	S	Kocuria flava	1.0929452810873105e-05	0.00029633404712301473	0.00025898916831211343	3.0	1.0183846282352882	0.1542476022160496	0.6893265565438373
0.0	1.0	1.0	2.0	1.0	S	37921	Arthrobacter agilis	CasClinique10_ADN	False	16069.0	6.223162611239032e-05	0.01	2336498.0	2336498.0	S	Arthrobacter agilis	4.279909505593414e-07	4.192691615863221e-05	2.0506371818077744e-05	3.0	0.9901658925280066	0.16104652030692534	0.6893265565438373
0.0	1.0	1.0	1.0	1.0	S	1836198	Variovorax ureilyticus	CasClinique10_ADN	False	16069.0	6.223162611239032e-05	0.01	1042041.0	1042041.0	S	Variovorax ureilyticus	9.596551383294899e-07	4.191612098382977e-05	2.0522721263802045e-05	3.0	0.9899030867993622	0.1611107452981424	0.6893265565438373
0.0	1.0	1.0	2.0	1.0	S	3075430	Dyella sp. BiH032	CasClinique10_ADN	False	16069.0	6.223162611239032e-05	0.01	1386115.0	1386115.0	S	Dyella sp. BiH032	7.214408616889653e-07	4.074776821093922e-05	2.2314020537678024e-05	3.0	0.9627963667585068	0.1678248621990287	0.6893265565438373
0.0	1.0	1.0	11.0	9.0	S	2560053	Paracoccus liaowanqingii	CasClinique10_ADN	False	16069.0	0.0005600846350115129	0.01	1228009.0	1228009.0	S	Paracoccus liaowanqingii	7.3289365143089344e-06	0.0003655507659507599	0.00020265612810926214	3.0	0.9599209798179402	0.16854749320271523	0.6893265565438373
0.0	1.0	1.0	14.0	13.0	S	2080419	Deinococcus sp. NW-56	CasClinique10_ADN	False	16069.0	0.0008090111394610741	0.01	962905.0	962905.0	S	Deinococcus sp. NW-56	1.3500812645068828e-05	0.00044178435791289715	0.0003843583572120044	3.0	0.9554281171662464	0.1696806203379606	0.6893265565438373
0.0	1.0	1.0	6.0	5.0	S	2202825	Methylobacterium durans	CasClinique10_ADN	False	16069.0	0.00031115813056195157	0.01	1765625.0	1765625.0	S	Methylobacterium durans	2.831858407079646e-06	0.00019330223535424427	0.0001242167004950126	3.0	0.9487926723060826	0.17136303474111214	0.6893265565438373
0.0	1.0	1.0	2.0	2.0	S	1882682	Microvirga ossetica	CasClinique10_ADN	False	16069.0	0.00012446325222478064	0.01	2492906.0	2492906.0	S	Microvirga ossetica	8.022765399096476e-07	7.913724052649244e-05	4.8318198611532366e-05	3.0	0.9380732933092005	0.17410337273574006	0.6893265565438373
