sample	reference	mapq_min	read_count	neg_read_count	z_score	p_value	gtdb_taxonomy	ncbi_taxid
MG-Run35-Ech-5	GCA_018376995.1	25	5	0	6.363961030678928	9.830802838450836e-11	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella sp018376995	29466.0
MG-Run35-Ech-5	GCF_005844455.1	25	5	0	6.363961030678928	9.830802838450836e-11	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_BF	2866596.0
MG-Run35-Ech-5	GCF_000875895.1	25	5	0	6.363961030678928	9.830802838450836e-11	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus gallinarum	1293.0
MG-Run35-Ech-5	GCF_002901845.1	25	5	0	6.363961030678928	9.830802838450836e-11	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis	1290.0
MG-Run35-Ech-5	GCF_001068775.1	25	5	0	6.363961030678928	9.830802838450836e-11	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pseudopneumoniae_N	1739341.0
MG-Run35-Ech-5	GCF_000218235.1	25	5	0	6.363961030678928	9.830802838450836e-11	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella multisaccharivorax	688246.0
MG-Run35-Ech-5	GCF_001072375.1	25	4	0	4.949747468305833	3.7154918619553e-7	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pseudopneumoniae_L	257758.0
MG-Run35-Ech-5	GCF_002567495.1	25	4	0	4.949747468305833	3.7154918619553e-7	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A cereus_AQ	1396.0
MG-Run35-Ech-5	GCF_001679005.1	25	4	0	4.949747468305833	3.7154918619553e-7	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella;s__Moraxella nonliquefaciens	478.0
MG-Run35-Ech-5	GCF_001072925.1	25	4	0	4.949747468305833	3.7154918619553e-7	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pseudopneumoniae_Q	257758.0
